"id","airport_name","summary_sentence"
1,"London Heathrow Airport","Dugo čekanje."
2,"London Stansted Airport","Nema razdvajanja tokova putnika."
3,"Manchester Airport","Nisam ljubitelj ovog aerodroma, datiran je i nema mnogo toga da se uradi."
4,"Paris Cdg Airport","Ne znam."
5,"Dubai Airport","Nisam ljubitelj ovog aerodroma, prevelik je, previše zagušen i pretežak za navigaciju."
6,"Luton Airport","Ulaznice za let kojim smo putovali."
7,"London Gatwick Airport","Gatwick North Terminal je nedavno reorganizirao svoje sigurnosne službe"
8,"Bangkok Suvarnabhumi Airport","Zračna luka Bangkok Suvarnabhumi"
9,"Frankfurt Main Airport","Ne bih preporučio ovaj aerodrom nikome."
10,"Los Angeles Lax Airport","Najgori aerodrom na kojem sam bio na svojim putovanjima."
11,"Miami Airport","Bio sam na aerodromu i nikad nisam imao loše iskustvo."
12,"New York Jfk Airport","JFK je neorganizovan aerodrom."
13,"Singapore Changi Airport","Pokušao sam da slikam avion."
14,"Leeds Bradford Airport","Prošlo je godinu dana od upotrebe LBA-e, ovaj put malo bolje, bez reda u osiguranju ali osoblje je izgledalo zadovoljnije razgovorom nego da se brine o putnicima"
15,"Toronto Pearson Airport","Sami sanke recenzije aerodroma u jednu kratku reenicu:"
16,"Amsterdam Schiphol Airport","Gradonačelniče KLM-a."
17,"Hong Kong Airport","Bio sam u HKG 4 puta - 2 puta za tranzit i jednom za Odlazak i dolazak. Veza s gradom je dobro organizirana, ali možda malo preskupa (bus mislim)."
18,"Klia Kuala Lumpur Airport","Leteo sam. Leteo sam. Leteo sam."
19,"Rome Fiumicino Airport","Pokušao sam objasniti da ne mogu smanjiti u sredini naše grupe - nije ih bilo briga, da stvari budu još gore, samo pokušati dobiti bilo kakve račune pečata za povrat PDV-a. Čekao sam u redu - 20-30 ljudi ispred mene."
20,"Bristol Airport","Puno pomoći."
